osmid,safety_tag_value,is_lit
"605108624,1283786407",5,0
"605108624,1430084682",5,1
"1283786408,642417294,809353489,1363712338,1363712337",1,1
"8260294,642417294",1,0
5984342,5,0
5984342,1,0
"260458990,5984342",1,1
"1430084681,1430084684,1372431333",5,1
"1372431333,1283786406",5,0
18926617,4,0
18926617,1,0
18926617,5,1
"435348860,1434672221,1434672222",4,1
"1426731408,1434672222",1,0
4252414,5,1
"265714883,23036014",5,1
"435347694,23036016,1426731985,909467156,909467159,1039143770",1,1
"909467160,1039149777,435347695",1,1
4252414,1,1
4252414,4,1
887493739,4,0
107827542,4,0
265714883,1,1
"265714883,23036014",1,1
1426731407,1,0
23036016,1,0
1426731407,1,1
33203255,5,0
"909467161,4252415",1,1
"909467160,1039149777,435347695",5,1
265714883,1,0
"6578376,4281284",5,0
265714883,5,0
23035931,1,0
58602807,4,0
511790486,3,0
4262448,3,0
27921656,3,0
511790486,1,0
"1432696568,1534172774,1534172775",3,1
"1534172776,1534172775",4,1
4262448,1,0
"116406475,61887429",4,0
27921656,3,1
27921656,1,0
"1432696568,1534172773",3,1
"1432696568,1534172774,1534172775",1,0
52918815,6,0
52918815,1,0
"771094105,622157225",6,0
"771094105,622157229,771094103",6,0
4712650,1,1
1063445658,1,1
"1072612928,1072612929,1072612930",1,1
4712650,1,0
4712650,4,1
23029091,1,1
23079689,1,1
6968296,1,0
1072612930,1,0
4712647,1,1
542829550,4,0
4257243,3,0
"18309856,823014693,823014695,823014696,224187818,224187819",4,0
542829550,1,0
9195648,4,0
823014694,4,0
4257243,3,1
4257243,1,0
"1274524236,1274524238",2,0
"817022209,1274524237,1274524238",4,0
823015077,4,0
1065258313,4,0
"18309856,823014693,823014695,823014696,224187818,224187819",1,0
70537658,3,1
4350063,4,1
18769857,3,1
70537658,1,1
1028839115,3,0
70537658,3,0
4350063,1,1
1024945956,3,0
4350061,2,1
18769857,4,1
18769857,1,1
382357184,1,1
4350060,1,1
382357184,4,1
4364680,1,1
18769857,1,0
4350060,3,1
4350061,1,1
4364681,1,1
1432456163,1,1
8142544,1,1
382357181,1,1
"8142544,382357181",1,1
"520139142,520139143",3,0
520139144,3,1
103110133,3,0
"70537658,4350062",1,0
1154256652,2,0
70537658,1,0
"70537658,4350062",2,0
67602209,5,0
29390683,5,0
67602209,1,1
"110520908,110520910,110520911",5,0
29390683,4,1
29390683,1,0
"969785632,969785633,103110114",4,0
67602209,1,0
67602209,6,1
"1046350856,570239727",6,1
"1046350856,1046350854,1046350855",1,0
4258240,1,1
"712972898,362581894",1,0
606898976,1,1
25485996,1,0
712972898,1,0
"712972899,712972900",1,1
58321827,3,1
797261133,1,1
"74144507,74144508,55940422",1,1
58321827,1,1
558327886,4,0
558327889,3,0
"1076682715,74144492,74144494",3,1
8326600,5,0
9759655,3,0
9894928,3,0
422270103,5,0
9759655,1,0
1534893941,1,0
1534893942,2,0
1534893943,2,0
9778590,4,0
9759655,4,1
9894928,1,0
1534893943,1,0
422270103,1,0
1116020192,6,1
1116020192,4,1
7744555,3,1
198658661,1,1
198658661,4,1
7744552,4,1
7744555,1,1
61972439,4,1
198658661,3,0
9778588,3,1
7744552,1,1
1116020192,1,0
1155097938,5,0
198658661,1,0
4338255,4,0
4082678,1,0
4082678,2,0
9778588,1,1
4396166,1,1
35803751,4,1
1116023814,4,1
9778587,4,1
35803751,1,1
"1017128609,1017128610,1017128607",3,0
107531349,3,0
1116023814,1,1
4332859,6,1
4332859,1,1
7744548,4,0
1155097938,6,0
7744550,6,1
4332859,4,1
9778594,4,1
7744548,1,1
107531344,3,0
9894932,6,1
1155097938,1,0
1155097938,6,1
7744550,1,1
362850068,6,0
18308565,3,0
"18308565,371319143",1,1
"431475403,1117401654",3,0
18308565,1,0
4264327,4,1
6968299,3,1
26638305,2,0
371319143,2,0
455053300,2,0
"431475403,1117401654",1,1
"455053298,1117401654,1117401655",2,0
4253048,5,0
4253048,1,0
1442674763,5,0
4253048,1,1
"1442674760,1442674762,1442674763",5,1
76259595,4,0
1072612919,5,1
973891813,4,1
74143735,4,0
